geoid,latitude,longitude,latlong
481130084002,32.777911,-96.712089,"32.7779, -96.7121"
481130084003,32.770595,-96.71531,"32.7706, -96.7153"
481130084004,32.768108,-96.703123,"32.7681, -96.7031"
481130084005,32.775659,-96.705285,"32.7757, -96.7053"
481130084006,32.766871,-96.709581,"32.7669, -96.7096"
481130084007,32.783172,-96.720472,"32.7832, -96.7205"
481130085001,32.774536,-96.69061,"32.7745, -96.6906"
481130085002,32.775404,-96.696934,"32.7754, -96.6969"
481130085003,32.767666,-96.695677,"32.7677, -96.6957"
481130085004,32.767282,-96.687726,"32.7673, -96.6877"
481130086031,32.720917,-96.775483,"32.7209, -96.7755"
481130086032,32.739069,-96.783737,"32.7391, -96.7837"
481130086041,32.713615,-96.771346,"32.7136, -96.7713"
481130086042,32.720188,-96.766099,"32.7202, -96.7661"
481130087011,32.710323,-96.772024,"32.7103, -96.772"
481130087012,32.706248,-96.762346,"32.7062, -96.7623"
481130087013,32.703895,-96.769069,"32.7039, -96.7691"
481130087014,32.700149,-96.765287,"32.7001, -96.7653"
481130087015,32.696507,-96.759062,"32.6965, -96.7591"
481130087031,32.705648,-96.776592,"32.7056, -96.7766"
481130087032,32.701652,-96.785659,"32.7017, -96.7857"
481130087041,32.699013,-96.777161,"32.699, -96.7772"
481130087042,32.694848,-96.774885,"32.6948, -96.7749"
481130087043,32.690317,-96.787038,"32.6903, -96.787"
481130087051,32.689002,-96.774627,"32.689, -96.7746"
481130087052,32.685583,-96.782266,"32.6856, -96.7823"
481130088011,32.721328,-96.785952,"32.7213, -96.786"
481130088012,32.71662,-96.794063,"32.7166, -96.7941"
481130088013,32.714055,-96.800989,"32.7141, -96.801"
481130088021,32.715069,-96.782507,"32.7151, -96.7825"
481130088022,32.712381,-96.788968,"32.7124, -96.789"
481130088023,32.709662,-96.795467,"32.7097, -96.7955"
481130088024,32.70485,-96.792121,"32.7049, -96.7921"
481130088025,32.707722,-96.786173,"32.7077, -96.7862"
481130088026,32.711044,-96.779167,"32.711, -96.7792"
481130089001,32.744178,-96.791955,"32.7442, -96.792"
481130089002,32.743436,-96.797016,"32.7434, -96.797"
481130089003,32.735469,-96.795127,"32.7355, -96.7951"
481130090001,32.758318,-96.670507,"32.7583, -96.6705"
