"","origin","Jobs","workers","Wieghted_Avg","Job_Perct"
"775",4.8113e+11,2177.5,769,1.822814443,0.002752398
"776",4.8113e+11,1274.5,1286,1.784180407,0.002694062
"777",4.8113e+11,1104,1469,1.765423189,0.002665739
"778",4.8113e+11,1073,1475,1.722858857,0.002601468
"779",4.8113e+11,2123.5,734,1.696704778,0.002561976
"780",4.8113e+11,2517.5,611,1.674436364,0.002528351
"781",4.8113e+11,2641,578,1.661706035,0.002509129
"782",4.8113e+11,1002,1514,1.651397239,0.002493563
"783",4.8113e+11,2257.5,664,1.631750656,0.002463897
"784",4.8113e+11,1743.5,857,1.626524956,0.002456006
"785",4.8113e+11,945,1581,1.626378543,0.002455785
"786",4.8113e+11,1602,852,1.485799008,0.002243514
"787",4.8113e+11,3178,428,1.480660939,0.002235756
"788",4.8113e+11,2303,562,1.408926089,0.002127438
"789",4.8113e+11,1383,932,1.40312399,0.002118677
"790",4.8113e+11,2209,575,1.382679481,0.002087807
"791",4.8113e+11,1157,1094,1.37787125,0.002080546
"792",4.8113e+11,1099,1085,1.298031967,0.001959991
"793",4.8113e+11,1086,1042,1.231843402,0.001860048
"794",4.8113e+11,1786.5,606,1.178510896,0.001779518
"795",4.8113e+11,1437.5,732,1.145451992,0.0017296
"796",4.8113e+11,443,2358,1.13711787,0.001717016
"797",4.8113e+11,1073,955,1.115478107,0.00168434
"798",4.8113e+11,1002,1008,1.099477158,0.001660179
"799",4.8113e+11,1556,610,1.033230899,0.001560149
"800",4.8113e+11,971,920,0.972444926,0.001468364
"801",4.8113e+11,794,1103,0.953353515,0.001439537
"802",4.8113e+11,2418,362,0.95284624,0.001438771
"803",4.8113e+11,1174.5,741,0.947390851,0.001430533
"804",4.8113e+11,2582.5,331,0.93052122,0.001405061
"805",4.8113e+11,433,1947,0.9177234,0.001385736
"806",4.8113e+11,1597,520,0.903995393,0.001365007
"807",4.8113e+11,599,1373,0.89527265,0.001351836
"808",4.8113e+11,1962,417,0.890621173,0.001344813
"809",4.8113e+11,294,2600,0.832105966,0.001256456
"810",4.8113e+11,1547.5,476,0.801854495,0.001210777
"811",4.8113e+11,564.5,1245,0.765052529,0.001155208
"812",4.8113e+11,1215.5,577,0.7634643,0.001152809
"813",4.8113e+11,1140,609,0.755753386,0.001141166
"814",4.8113e+11,442,1561,0.751074695,0.001134101
"815",4.8113e+11,356,1833,0.710346787,0.001072603
"816",4.8113e+11,556,1151,0.696639463,0.001051906
"817",4.8113e+11,485,1186,0.626158651,0.000945482
"818",4.8113e+11,1274.5,408,0.566054126,0.000854726
"819",4.8113e+11,2899.5,166,0.523949172,0.000791148
"820",4.8113e+11,473.5,1001,0.515955229,0.000779078
"821",4.8113e+11,405,1127,0.496863274,0.000750249
"822",4.8113e+11,272,1479,0.437920258,0.000661247
"823",4.8113e+11,492,696,0.372762572,0.000562861
"824",4.8113e+11,1080,278,0.326833458,0.000493509
"825",4.8113e+11,166.5,1726,0.312833308,0.000472369
"826",4.8113e+11,483.5,581,0.305795133,0.000461742
"827",4.8113e+11,323,839,0.295000288,0.000445442
"828",4.8113e+11,159.5,1241,0.215471793,0.000325356
"829",4.8113e+11,110,1382,0.16548502,0.000249878
"830",4.8113e+11,14,2632,0.040111775,6.06e-05
"831",4.8113e+11,22,1516,0.03630612,5.48e-05
"832",4.8113e+11,15,1615,0.026370705,3.98e-05
"833",4.8113e+11,63,365,0.025031759,3.78e-05
"834",4.8113e+11,14,1258,0.019171965,2.89e-05
