,year,depart_time,origin,destination,travel_time
1603,2018,8:0:00,481130002023,481130031011,1631
1684,2018,8:0:00,481130002023,481130079023,1608
1686,2018,8:0:00,481130002023,481130079132,908
1689,2018,8:0:00,481130002023,481130079025,1737
1691,2018,8:0:00,481130002023,481130079032,963
1694,2018,8:0:00,481130002023,481130079091,1293
1695,2018,8:0:00,481130002023,481130079092,1450
1697,2018,8:0:00,481130002023,481130079102,1485
1700,2018,8:0:00,481130002023,481130079121,1459
1701,2018,8:0:00,481130002023,481130079122,1335
1702,2018,8:0:00,481130002023,481130079131,983
1752,2018,8:0:00,481130003001,481130002011,1337
1753,2018,8:0:00,481130003001,481130002012,1318
1754,2018,8:0:00,481130003001,481130002013,1366
1755,2018,8:0:00,481130003001,481130002021,914
1756,2018,8:0:00,481130003001,481130002022,1053
1757,2018,8:0:00,481130003001,481130002023,491
1758,2018,8:0:00,481130003001,481130003001,28
1759,2018,8:0:00,481130003001,481130009004,1002
1760,2018,8:0:00,481130003001,481130003002,652
1761,2018,8:0:00,481130003001,481130003003,886
1790,2018,8:0:00,481130003001,481130006061,1684
1793,2018,8:0:00,481130003001,481130007011,1392
1794,2018,8:0:00,481130003001,481130007012,1385
1795,2018,8:0:00,481130003001,481130007021,1214
1796,2018,8:0:00,481130003001,481130007022,1147
1797,2018,8:0:00,481130003001,481130007023,1159
1798,2018,8:0:00,481130003001,481130008001,1544
1799,2018,8:0:00,481130003001,481130008002,1643
1800,2018,8:0:00,481130003001,481130008003,1372
1801,2018,8:0:00,481130003001,481130008004,1219
1802,2018,8:0:00,481130003001,481130008005,1064
1803,2018,8:0:00,481130003001,481130009001,1286
