,origin,Jobs,
518,4.81E+11,55400,0.315830769
519,4.81E+11,65612,0.375233631
520,4.81E+11,40267,0.231153481
521,4.81E+11,24018,0.13819523
522,4.81E+11,5753,0.03314753
523,4.81E+11,23447,0.135141292
524,4.81E+11,6173,0.03562742
525,4.81E+11,30837,0.178038927
526,4.81E+11,16751,0.096885211
527,4.81E+11,10604,0.061391386
528,4.81E+11,40960,0.237281768
529,4.81E+11,40960,0.237846134
530,4.81E+11,12647,0.073613565
531,4.81E+11,70601,0.411245351
532,4.81E+11,29886.5,0.174805424
533,4.81E+11,26561.5,0.155629628
534,4.81E+11,18608.5,0.109201214
535,4.81E+11,26970,0.158442454
536,4.81E+11,23309,0.137152241
537,4.81E+11,5993,0.035311779
538,4.81E+11,19185,0.113081226
539,4.81E+11,24145,0.142477831
540,4.81E+11,11600.5,0.06855135
541,4.81E+11,13479.5,0.07970965
542,4.81E+11,12005,0.071046976
543,4.81E+11,8876,0.052566539
544,4.81E+11,25257,0.149658784
545,4.81E+11,18072,0.107245014
546,4.81E+11,11469,0.068133776
547,4.81E+11,10660.5,0.063373907
548,4.81E+11,10520.5,0.062581303
549,4.81E+11,13662,0.081319439
550,4.81E+11,10160,0.060523929
551,4.81E+11,316264,1.88515079
552,4.81E+11,944382,5.737322926
553,4.81E+11,535232,3.449561525
554,4.81E+11,160466.5,1.071154099
555,4.81E+11,45116.5,0.304424802
556,4.81E+11,41972.5,0.284075373
557,4.81E+11,487781.5,3.310774124
558,4.81E+11,285685,2.005458053
559,4.81E+11,487781.5,3.494214663
560,4.81E+11,6848,0.050831703
561,4.81E+11,126044.5,0.936085726
562,4.81E+11,2243,0.016815335
563,4.81E+11,1367,0.010249857
564,4.81E+11,7961,0.059698224
565,4.81E+11,2243,0.016829934
566,4.81E+11,2243,0.016832767
567,4.81E+11,4905,0.036816148
568,4.81E+11,4738,0.035575771
569,4.81E+11,5280.5,0.039663299
570,4.81E+11,5280.5,0.039679038
571,4.81E+11,3793.5,0.028516652
572,4.81E+11,4938,0.037130722
573,4.81E+11,6445,0.048480435
574,4.81E+11,4140,0.031156921
575,4.81E+11,3493,0.026295904
576,4.81E+11,2513.5,0.018927037
577,4.81E+11,11448,0.086221499
578,4.81E+11,9959,0.075071708
579,4.81E+11,7238,0.054601591
580,4.81E+11,63,0.000475515
581,4.81E+11,6796,0.05129551
582,4.81E+11,19060.5,0.143940531
583,4.81E+11,28324,0.214204689
584,4.81E+11,8052.5,0.06102902
585,4.81E+11,13726.5,0.104095176
586,4.81E+11,16945,0.128636637
587,4.81E+11,7740.5,0.058837084
588,4.81E+11,1287.5,0.009792306
589,4.81E+11,34136.5,0.25965653
590,4.81E+11,34136.5,0.2603325
591,4.81E+11,245678,1.878485081
592,4.81E+11,57522,0.448240625
593,4.81E+11,43421,0.339881964
594,4.81E+11,137276,1.078205435
595,4.81E+11,35514,0.281977532
596,4.81E+11,7842,0.062440748
597,4.81E+11,24037,0.191510584
598,4.81E+11,5561,0.044391307
599,4.81E+11,3179,0.025387994
600,4.81E+11,3036.5,0.024256125
601,4.81E+11,2124,0.016971022
602,4.81E+11,3142,0.02510923
603,4.81E+11,10437.5,0.08343202
604,4.81E+11,5522,0.044176892
605,4.81E+11,4678,0.037441296
606,4.81E+11,563.5,0.004511773
607,4.81E+11,1760,0.014092419
608,481130111032a,776,0.006214352
609,481130111032b,2292,0.018355901
610,4.81E+11,2519,0.020177575
611,4.81E+11,2506.5,0.020081501
612,4.81E+11,2506.5,0.020085534
613,4.81E+11,2463.5,0.019744925
614,4.81E+11,1440,0.011543863
615,4.81E+11,272,0.002180759
616,4.81E+11,2506.5,0.020096295
617,4.81E+11,528.5,0.004238191
618,4.81E+11,3013,0.024163125
619,4.81E+11,22017,0.176610723
620,4.81E+11,4945,0.039736802
621,4.81E+11,4326,0.034776489
622,4.81E+11,2523.5,0.020293343
623,4.81E+11,1419.5,0.011417574
624,4.81E+11,2575,0.020714061
625,4.81E+11,1475,0.011867794
626,4.81E+11,1584,0.012746317
627,4.81E+11,6518,0.052456492
628,4.81E+11,6553.5,0.052769875
629,4.81E+11,52942,0.426522889
630,4.81E+11,105884,0.856699798
631,4.81E+11,2908.5,0.023735808
632,4.81E+11,556,0.004538505
633,4.81E+11,1648,0.013452871
634,4.81E+11,794,0.006482413
635,4.81E+11,599,0.004890702
636,4.81E+11,2208,0.01802871
637,4.81E+11,2983.5,0.024365197
638,4.81E+11,2271,0.01855098
639,4.81E+11,2374.5,0.019400033
640,4.81E+11,3054,0.024956495
641,4.81E+11,7623,0.062308726
642,4.81E+11,6689,0.054708503
643,4.81E+11,19563,0.16009094
644,4.81E+11,1185,0.009712823
