0,workforce,state,county,tract,block group
833,2010,48,113,016705,2
834,1988,48,113,016803,3
835,959,48,113,016803,2
836,879,48,113,016803,1
837,514,48,113,016903,1
838,885,48,113,016903,4
839,849,48,113,016903,2
840,1357,48,113,016903,3
841,550,48,113,016903,5
842,790,48,113,017702,3
843,2470,48,113,017702,1
844,1236,48,113,017702,2
845,852,48,113,017704,4
846,1929,48,113,017704,1
847,736,48,113,017704,2
848,912,48,113,017704,3
849,924,48,113,018001,3
850,789,48,113,018001,1
851,928,48,113,018001,2
852,934,48,113,018001,4
853,1076,48,113,018001,5
854,1180,48,113,019211,4
855,621,48,113,019900,2
856,939,48,113,019900,1
857,778,48,113,019900,3
858,746,48,113,019900,4
859,1442,48,113,000100,1
860,1069,48,113,000100,2
861,729,48,113,000100,3
862,1003,48,113,000405,2
863,914,48,113,000405,1
864,1277,48,113,000601,3
865,1048,48,113,000601,4
866,767,48,113,000601,1
867,1406,48,113,000601,5
868,847,48,113,000601,2
869,435,48,113,002701,1
870,2070,48,113,000701,1
871,2561,48,113,000701,2
872,899,48,113,002701,2
873,480,48,113,002701,4
874,516,48,113,002701,3
875,546,48,113,004000,1
876,407,48,113,004000,2
877,612,48,113,015401,3
878,473,48,113,015401,5
879,668,48,113,015401,2
880,635,48,113,015401,4
881,1803,48,113,015401,6
882,881,48,113,015500,1
883,603,48,113,015500,2
884,1042,48,113,015500,3
885,963,48,113,015700,2
886,1143,48,113,015700,1
887,1833,48,113,016511,2
888,1561,48,113,016511,1
889,2349,48,113,016513,3
890,789,48,113,016513,1
891,1054,48,113,016513,2
892,845,48,113,016610,2
893,1233,48,113,016610,3
894,1151,48,113,016610,4
895,511,48,113,016610,1
896,4701,48,113,018124,3
897,2042,48,113,018124,2
898,1198,48,113,013718,2
899,1337,48,113,013718,3
900,976,48,113,013718,1
901,2049,48,113,013720,1
902,844,48,113,009101,2
903,1540,48,113,009101,4
904,747,48,113,009101,1
905,814,48,113,009101,3
906,1030,48,113,009701,2
907,1311,48,113,009701,3
908,1523,48,113,009701,1
909,1430,48,113,010801,1
910,1046,48,113,010801,2
911,3091,48,113,010801,3
912,1301,48,113,010801,4
913,857,48,113,011104,3
914,1193,48,113,011104,1
915,278,48,113,011104,4
916,606,48,113,011104,2
917,774,48,113,012000,1
918,1395,48,113,012000,3
919,940,48,113,012000,2
920,1893,48,113,012207,2
921,1044,48,113,012207,1
922,2317,48,113,012207,3
923,780,48,113,012301,3
924,2036,48,113,012301,1
925,727,48,113,012301,2
926,731,48,113,005000,2
927,798,48,113,005000,1
928,1258,48,113,005000,3
929,1182,48,113,006900,2
930,559,48,113,006900,1
931,884,48,113,006900,3
932,1088,48,113,007202,3
933,741,48,113,008704,3
934,1251,48,113,008704,2
935,1003,48,113,008704,1
936,884,48,113,009304,1
937,955,48,113,009304,2
938,1578,48,113,009304,4
939,476,48,113,009304,3
940,805,48,113,009500,1
941,968,48,113,009500,2
942,1146,48,113,011200,3
943,1280,48,113,011200,2
944,2592,48,113,011200,1
945,645,48,113,011500,4
946,356,48,113,011500,3
947,1014,48,113,011500,2
948,457,48,113,011500,1
949,973,48,113,011701,1
950,2026,48,113,011701,4
951,1360,48,113,011701,2
952,694,48,113,011701,3
953,916,48,113,011900,4
954,1192,48,113,011900,3
955,1054,48,113,011900,2
956,1863,48,113,018122,2
957,4871,48,113,018122,3
958,1081,48,113,015206,2
959,600,48,113,015206,3
960,1520,48,113,015206,1
961,897,48,113,014204,2
962,1178,48,113,014204,1
963,1335,48,113,014310,2
964,957,48,113,014310,3
965,1189,48,113,014310,1
966,1311,48,113,014603,1
967,978,48,113,016002,1
968,1082,48,113,018002,1
969,1187,48,113,018002,2
970,754,48,113,018127,2
971,1532,48,113,018127,1
972,1817,48,113,018503,2
973,1367,48,113,018503,1
974,1028,48,113,018203,2
975,1849,48,113,018203,3
976,1196,48,113,018203,1
977,1508,48,113,018205,1
978,1898,48,113,018205,2
979,412,48,113,018600,2
980,1454,48,113,018600,1
981,946,48,113,018600,3
982,736,48,113,018900,3
983,585,48,113,018900,4
984,1184,48,113,018900,1
985,1930,48,113,018900,2
986,949,48,113,019023,2
987,1546,48,113,019023,1
988,754,48,113,019023,3
989,914,48,113,019023,4
990,620,48,113,005700,3
991,852,48,113,005700,1
992,1043,48,113,005700,2
993,780,48,113,005700,4
994,901,48,113,006502,1
995,1299,48,113,006502,2
996,1035,48,113,006502,3
997,1098,48,113,006700,3
998,1183,48,113,006700,1
999,1022,48,113,006700,4
1000,2095,48,113,006700,2
1001,626,48,113,007809,1
1002,1251,48,113,007809,2
1003,1170,48,113,007818,1
1004,1237,48,113,013720,2
1005,1363,48,113,013720,3
1006,882,48,113,013803,4
1007,773,48,113,013803,6
1008,819,48,113,013803,1
1009,1049,48,113,013803,2
1010,663,48,113,013803,3
1011,1011,48,113,013803,5
1012,578,48,113,014103,1
1013,1844,48,113,014103,2
1014,918,48,113,014115,5
1015,802,48,113,014115,6
1016,823,48,113,014115,4
1017,1137,48,113,014115,1
1018,889,48,113,014115,2
1019,1204,48,113,014115,3
1020,2572,48,113,014126,1
1021,1784,48,113,014126,2
1022,938,48,113,014126,3
