Aland	Awater	Blkgrpce	Countyfp	Funcstat	Geoid	Geometry	Intptlat	Intptlon	Mtfcc	Namelsad	Number of Records	Statefp	Tractce
421531	0	1	113	S	4.8113E+11	POLYGON	32.8446113	-96.625306	G5030	Block Group 1	1	48	18130
2572624	0	2	113	S	4.8113E+11	POLYGON	32.8348192	-96.6258583	G5030	Block Group 2	1	48	18130
263276	0	2	113	S	4.8113E+11	POLYGON	32.7009355	-97.0107182	G5030	Block Group 2	1	48	16406
150644	0	4	113	S	4.8113E+11	POLYGON	32.699976	-97.0136644	G5030	Block Group 4	1	48	16406
781937	0	1	113	S	4.8113E+11	POLYGON	32.7032959	-96.9902618	G5030	Block Group 1	1	48	16407
610932	0	1	113	S	4.8113E+11	POLYGON	32.7065267	-97.0107831	G5030	Block Group 1	1	48	16406
476765	0	2	113	S	4.8113E+11	POLYGON	32.7067683	-96.998394	G5030	Block Group 2	1	48	16407
233138	0	3	113	S	4.8113E+11	POLYGON	32.7063934	-97.0042642	G5030	Block Group 3	1	48	16407
781904	0	3	113	S	4.8113E+11	POLYGON	32.6950077	-97.0088839	G5030	Block Group 3	1	48	16408
841352	0	4	113	S	4.8113E+11	POLYGON	32.6887817	-97.0094845	G5030	Block Group 4	1	48	16408
1518999	0	2	113	S	4.8113E+11	POLYGON	32.6649912	-97.0330825	G5030	Block Group 2	1	48	16410
965009	0	1	113	S	4.8113E+11	POLYGON	32.650911	-97.0323016	G5030	Block Group 1	1	48	16411
507601	0	3	113	S	4.8113E+11	POLYGON	32.6542685	-97.0180072	G5030	Block Group 3	1	48	16411
4191020	0	2	113	S	4.8113E+11	POLYGON	32.6859799	-96.9114826	G5030	Block Group 2	1	48	16520
952066	6596	2	113	S	4.8113E+11	POLYGON	32.7335326	-97.0007488	G5030	Block Group 2	1	48	16002
846228	0	2	113	S	4.8113E+11	POLYGON	32.736609	-97.0297869	G5030	Block Group 2	1	48	16100
1237801	7857	1	113	S	4.8113E+11	POLYGON	32.7243029	-96.9974987	G5030	Block Group 1	1	48	16201
233389	0	2	113	S	4.8113E+11	POLYGON	32.7272205	-97.0110085	G5030	Block Group 2	1	48	16201
456854	0	3	113	S	4.8113E+11	POLYGON	32.723194	-97.0112555	G5030	Block Group 3	1	48	16201
529407	0	2	113	S	4.8113E+11	POLYGON	32.7149304	-97.0049689	G5030	Block Group 2	1	48	16202
837244	0	2	113	S	4.8113E+11	POLYGON	32.812447	-96.9879896	G5030	Block Group 2	1	48	15305
224690	0	1	113	S	4.8113E+11	POLYGON	32.8895215	-96.7729736	G5030	Block Group 1	1	48	13105
343879	0	2	113	S	4.8113E+11	POLYGON	32.7155835	-96.9875725	G5030	Block Group 2	1	48	16302
792651	19519	2	113	S	4.8113E+11	POLYGON	32.6852749	-97.0143242	G5030	Block Group 2	1	48	16401
648356	33	3	113	S	4.8113E+11	POLYGON	32.6789583	-97.0129609	G5030	Block Group 3	1	48	16401
286142	0	1	113	S	4.8113E+11	POLYGON	32.8666688	-96.7465683	G5030	Block Group 1	1	48	7820
294255	0	1	113	S	4.8113E+11	POLYGON	32.9074887	-96.7261937	G5030	Block Group 1	1	48	18503
87746	0	2	113	S	4.8113E+11	POLYGON	32.8650828	-96.7516783	G5030	Block Group 2	1	48	7818
27181248	1289	1	113	S	4.8114E+11	POLYGON	32.8875639	-97.0123055	G5030	Block Group 1	1	48	980000
2595600	247028	1	113	S	4.8113E+11	POLYGON	32.9224133	-96.942129	G5030	Block Group 1	1	48	14130
83401	0	3	113	S	4.8113E+11	POLYGON	32.9310433	-96.7601214	G5030	Block Group 3	1	48	19212
196796	0	3	113	S	4.8113E+11	POLYGON	32.8663508	-96.6811564	G5030	Block Group 3	1	48	13010
186419	0	3	113	S	4.8113E+11	POLYGON	32.9370971	-96.8118482	G5030	Block Group 3	1	48	13615
14551028	309467	2	113	S	4.8113E+11	POLYGON	32.95121	-96.92622	G5030	Block Group 2	1	48	14002
298044	0	3	113	S	4.8113E+11	POLYGON	32.9663995	-96.8509514	G5030	Block Group 3	1	48	13725
98215	0	1	113	S	4.8113E+11	POLYGON	32.8723005	-96.7552918	G5030	Block Group 1	1	48	7821
348517	0	1	113	S	4.8113E+11	POLYGON	32.9358891	-96.9593782	G5030	Block Group 1	1	48	14128
4537869	0	1	113	S	4.8113E+11	POLYGON	32.6817337	-96.9831827	G5030	Block Group 1	1	48	16409
14001454	1130006	2	113	S	4.8113E+11	POLYGON	32.6950738	-96.9561685	G5030	Block Group 2	1	48	16521
496994	0	1	113	S	4.8113E+11	POLYGON	32.8470775	-96.9547554	G5030	Block Group 1	1	48	14308
332982	0	1	113	S	4.8113E+11	POLYGON	32.9664968	-96.9564784	G5030	Block Group 1	1	48	14121
1587269	657	1	113	S	4.8113E+11	POLYGON	32.6367606	-96.8320258	G5030	Block Group 1	1	48	16605
3138885	5969	1	113	S	4.8113E+11	POLYGON	32.775412	-96.5842517	G5030	Block Group 1	1	48	17702
9033749	56458	2	113	S	4.8113E+11	POLYGON	32.5658852	-96.9875651	G5030	Block Group 2	1	48	16523
174675	0	3	113	S	4.8113E+11	POLYGON	32.886688	-96.7637468	G5030	Block Group 3	1	48	7823
301455	0	3	113	S	4.8113E+11	POLYGON	32.9431948	-96.6699408	G5030	Block Group 3	1	48	19020
715138	0	3	113	S	4.8113E+11	POLYGON	32.9430013	-96.62556	G5030	Block Group 3	1	48	19025
189421	0	1	113	S	4.8113E+11	POLYGON	32.8066361	-96.7729826	G5030	Block Group 1	1	48	1503
338178	1149	2	113	S	4.8113E+11	POLYGON	32.9335248	-96.721795	G5030	Block Group 2	1	48	19040
298422	0	1	113	S	4.8113E+11	POLYGON	32.9190981	-96.7150049	G5030	Block Group 1	1	48	19019
11483799	34693	1	113	S	4.8113E+11	POLYGON	32.7036698	-96.9232763	G5030	Block Group 1	1	48	16520
113716	0	2	113	S	4.8113E+11	POLYGON	32.8937097	-96.7730812	G5030	Block Group 2	1	48	13105
335202	0	3	113	S	4.8113E+11	POLYGON	32.8484406	-96.7694351	G5030	Block Group 3	1	48	7913
143877	0	2	113	S	4.8113E+11	POLYGON	32.9412393	-96.8161044	G5030	Block Group 2	1	48	13624
577804	0	1	113	S	4.8113E+11	POLYGON	32.745314	-96.877621	G5030	Block Group 1	1	48	6700
1482984	0	2	113	S	4.8113E+11	POLYGON	32.7462818	-96.8975743	G5030	Block Group 2	1	48	6700
289595	0	3	113	S	4.8113E+11	POLYGON	32.7441595	-96.887669	G5030	Block Group 3	1	48	6700
363520	0	4	113	S	4.8113E+11	POLYGON	32.7382312	-96.8765415	G5030	Block Group 4	1	48	6700
624209	0	1	113	S	4.8113E+11	POLYGON	32.7519612	-96.8706616	G5030	Block Group 1	1	48	6800
